aggregation_method,correlation,accuracy,negative_f1,neutral_f1,positive_f1,r_squared,macro_f1,neutral_lower,neutral_upper
compound_by_article,0.47283771049166434,0.5588235294117647,0.7142857142857142,0.27848101265822783,0.5097087378640776,0.21452273734947777,0.5653762180797106,0.5000000000000013,0.95
average_sentence,0.49996276197251716,0.6050420168067226,0.7490445859872611,0.3433734939759036,0.5209003215434084,0.2552653250416139,0.6008711749310381,0.05000000000000093,0.14999999999999925
median_sentence,0.33061392747457385,0.5812324929971989,0.7197580645161291,0.03529411764705882,0.4135338345864662,0.11516788674995725,0.48970714971297624,8.881784197001252e-16,0.049999999999999156
mode_sentence,0.07913821524034151,0.5280112044817927,0.6895273401297497,0.024539877300613498,0.03225806451612903,0.00507929955799684,0.374823214813366,0.10000000000000098,0.49999999999999956
average_paragraph,0.499453543892103,0.592436974789916,0.7365591397849462,0.30573248407643305,0.545945945945946,0.24823238563048353,0.5922980384649005,0.05000000000000093,0.14999999999999925
median_paragraph,0.34484211577054574,0.5700280112044818,0.7160220994475138,0.14414414414414417,0.44518272425249167,0.12735088620455234,0.5200129652688936,8.881784197001252e-16,0.1999999999999993
mode_paragraph,0.08752025768255377,0.5238095238095238,0.6840579710144927,0.03529411764705882,0.15246636771300448,0.009158807093347822,0.4048261322427962,8.881784197001252e-16,0.2999999999999994
avg_first_last_para,0.1913704792484036,0.5364145658263305,0.6994871794871795,0.17142857142857143,0.19753086419753085,0.0301429842847854,0.45464766723403516,0.5500000000000014,0.7999999999999998
