aggregation_method,correlation,accuracy,negative_f1,neutral_f1,positive_f1,r_squared,macro_f1,neutral_lower,neutral_upper
compound_by_article,0.48503322353349576,0.592436974789916,0.7490247074122237,0.28571428571428575,0.5095890410958904,0.22723381412505414,0.5851532611191868,0.2500000000000011,0.95
average_sentence,0.5503675796020177,0.6064425770308123,0.760898282694848,0.38775510204081626,0.49462365591397855,0.3092340710660071,0.6103023818946682,8.881784197001252e-16,0.14999999999999925
median_sentence,0.34165506165717796,0.5854341736694678,0.7231075697211155,0.03571428571428571,0.40625,0.12470318812377675,0.4897087570087796,8.881784197001252e-16,0.049999999999999156
mode_sentence,0.022066558377779818,0.5252100840336135,0.6870370370370371,0.02484472049689441,0.0213903743315508,0.00024612579561722936,0.3708316809031776,8.881784197001252e-16,0.24999999999999933
average_paragraph,0.5438288525741879,0.6064425770308123,0.7666232073011734,0.31610942249240126,0.5240963855421688,0.2900802019334773,0.6048178200140941,8.881784197001252e-16,0.14999999999999925
median_paragraph,0.38528878114458853,0.592436974789916,0.7393162393162394,0.1909090909090909,0.4117647058823529,0.15188412289705022,0.5341571858872898,8.881784197001252e-16,0.1999999999999993
mode_paragraph,0.133068767797798,0.5392156862745098,0.6966507177033493,0.07100591715976332,0.14018691588785046,0.017721266975342112,0.41626210227612875,0.05000000000000093,0.24999999999999933
avg_first_last_para,0.14587636755870456,0.4523809523809524,0.57991513437058,0.236734693877551,0.3739495798319328,0.020195029245539155,0.4512800427600943,0.15000000000000102,0.49999999999999956
